数据导出
唯一标识,商品编码,商户编码,图片链接,审核状态,异常标识
TMT000000007969130	,000000011274949730		,0010140581	,https://image.suning.com/uimg/sop/transparent/124001241030346513154313.png	,1	,1	
TMT000000007969084	,000000011211203447		,0070851000	,https://image.suning.com/uimg/sop/transparent/807011847192497196912337.png	,1	,1	
TMT000000007969017	,000000011275360416		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/mc56iWhHqb6hAIhpkaGhjg.png	,1	,1	
TMT000000007969020	,000000011275364532		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/a84IPpkJwayAZ81dMUphSQ.png	,1	,1	
TMT000000007969012	,000000011275357442		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/RX8_lc1DUHm4Pi8S7pzohA.png	,1	,1	
TMT000000007969025	,000000011275365523		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/UfDSAtcLYLLWUJg--hGg8w.png	,1	,1	
TMT000000007969024	,000000011275365167		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/mG8pllqrxt7L84cNtmixgA.png	,1	,1	
TMT000000007969022	,000000011275364897		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/yCqvzqegBXKKlxFBtsoUpw.png	,1	,1	
TMT000000007969015	,000000011275360157		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/Rosr3Poc1zRxyO-xaORNIg.png	,1	,1	
TMT000000007969014	,000000011275359890		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/_TV5DXEh1KE49mhbd9RyVA.png	,1	,1	
TMT000000007968848	,000000011211354926		,0070851000	,https://image.suning.com/uimg/sop/transparent/115944809711456309216203.png	,1	,1	
TMT000000007644690	,000000011211354926		,0070851000	,https://image.suning.com/uimg/sop/transparent/776288227165731054223848.png	,3	,1	
TMT000000007968819	,000000011275356101		,0070536041	,http://uimgproxy.suning.cn/uimg1/sop/commodity/Dsa8EHATHhYUBKJuARWK4g.png	,1	,1	
